 Destination Port, Bwd Header Length, Total Fwd Packets, Fwd Packet Length Mean,Total Length of Fwd Packets, Init_Win_bytes_backward, Fwd Packet Length Max,Init_Win_bytes_forward, Fwd Header Length.1, Max Packet Length,Fwd PSH Flags, Bwd Packet Length Mean, Flow Packets/s, SYN Flag Count, Subflow Fwd Bytes, Bwd Packet Length Std, Subflow Bwd Packets, Bwd Packets/s, Idle Min, Flow IAT Std,Prediction,Confidence,Timestamp
443,260,17,1066.5294117647059,18131,66,1414,1414,340,1414,8,138.30769230769232,3.1464018019458866,0,18131,160.24566938364674,13,1.3634407808432176,0.95367431640625,416355.98996348685,BENIGN,100.0,2026-06-29 11:59:14
443,400,21,478.0,10038,66,1882,66,420,1882,13,535.2,4.222707164301383,2,10038,589.4986513979485,20,2.059857153317748,0.95367431640625,442094.7898585674,BENIGN,100.0,2026-06-29 11:59:14
443,180,8,457.875,3663,66,1785,66,160,4134,4,571.7777777777778,6.283255427658754,2,3663,1263.5467522263386,9,3.3264293440546346,0.95367431640625,227960.34030522907,BENIGN,100.0,2026-06-29 11:59:14
443,180,8,466.0,3728,66,1850,66,160,4134,4,571.7777777777778,5.565671774836507,2,3728,1263.5467522263386,9,2.9465321160899154,3.0994415283203125,264878.08102939354,BENIGN,100.0,2026-06-29 11:59:14
53989,260,12,125.5,1506,54,225,108,240,4243,7,740.0,2.583942218121947,0,1506,1153.9665373097996,13,1.3436499534234125,0.0,691955.7333244904,BENIGN,100.0,2026-06-29 11:59:14
57226,20,2,89.5,179,54,113,113,40,113,1,54.0,4.780222209896645,0,179,0.0,1,1.5934074032988816,45264.95933532715,268527.9846191406,BENIGN,100.0,2026-06-29 11:59:14
443,20,2,54.0,108,54,54,54,40,54,0,54.0,10.053284458087186,0,108,0.0,1,3.3510948193623955,127.07710266113281,149077.8923034668,BENIGN,100.0,2026-06-29 11:59:14
443,200,10,461.2,4612,66,1818,66,200,2774,6,520.0,2.758638561242089,2,4612,849.2254117723986,10,1.3793192806210446,0.95367431640625,505010.66300290165,BENIGN,100.0,2026-06-29 11:59:14
443,180,14,928.2142857142857,12995,66,4318,66,280,4318,6,104.22222222222223,2.519167613616704,2,12995,54.5135615701426,9,0.9857612401108842,0.0,711907.8471336091,BENIGN,100.0,2026-06-29 11:59:14
443,60,6,810.3333333333334,4862,66,1860,66,120,1860,2,95.0,3.3548253157285166,2,4862,41.012193308819754,3,1.1182751052428388,14.066696166992188,388871.6204353701,BENIGN,100.0,2026-06-29 11:59:14
443,4600,202,92.01980198019803,18588,66,1828,66,4040,6854,14,1946.391304347826,50.763861386596304,2,18588,1229.8057089083284,230,27.027055830826736,0.95367431640625,71845.08734424612,BENIGN,100.0,2026-06-29 11:59:14
443,220,12,644.0,7728,66,2874,66,240,2874,7,133.45454545454547,4.56689534835995,2,7728,130.53412207079566,11,2.184167340519976,0.95367431640625,312351.838880325,BENIGN,100.0,2026-06-29 11:59:14
443,220,15,541.2666666666667,8119,66,1466,66,300,2774,10,540.7272727272727,3.200833957516855,2,8119,809.1765838194113,11,1.3541989820263616,8.106231689453125,405991.4619743374,BENIGN,100.0,2026-06-29 11:59:14
443,180,9,283.44444444444446,2551,54,1028,134,180,1028,7,86.55555555555556,5.387782925165971,0,2551,37.85384498630111,9,2.6938914625829855,0.95367431640625,221462.3387506981,BENIGN,100.0,2026-06-29 11:59:14
53,80,5,63.8,319,66,89,66,100,89,2,57.0,4.340801217994862,2,319,5.196152422706632,4,1.9292449857754943,0.0,660678.7046814887,BENIGN,100.0,2026-06-29 11:59:14
53,80,5,63.8,319,66,89,66,100,89,2,57.0,4.341607506689463,2,319,5.196152422706632,4,1.9296033363064278,9.059906005859375,661007.6832054392,BENIGN,100.0,2026-06-29 11:59:14
53,80,5,63.8,319,66,89,66,100,89,2,57.0,4.341898643004846,2,319,5.196152422706632,4,1.929732730224376,1.1920928955078125,660868.0950313221,BENIGN,100.0,2026-06-29 11:59:14
53,80,5,64.0,320,66,90,66,100,90,2,57.0,1.4627281859722576,2,320,5.196152422706632,4,0.65010141598767,8.106231689453125,2010327.6268427637,BENIGN,100.0,2026-06-29 11:59:14
53,80,5,64.0,320,66,90,66,100,90,2,57.0,1.4627907626494658,2,320,5.196152422706632,4,0.650129227844207,0.0,2010756.7351116939,BENIGN,100.0,2026-06-29 11:59:14
53,80,5,64.0,320,66,90,66,100,90,2,57.0,1.4628311229118065,2,320,5.196152422706632,4,0.6501471657385807,0.95367431640625,2010573.3539160667,BENIGN,100.0,2026-06-29 11:59:14
58306,100,10,78.7,787,54,100,100,200,100,7,56.4,2.966765020381533,0,787,4.8,5,0.988921673460511,2.1457672119140625,563684.9070021897,BENIGN,100.0,2026-06-29 11:59:14
443,20,1,55.0,55,66,55,55,20,66,0,66.0,2.163563110569715,0,55,0.0,1,1.0817815552848575,924401.044845581,0.0,BENIGN,100.0,2026-06-29 11:59:14
443,120,11,809.1818181818181,8901,66,1962,55,220,1962,10,64.5,2.9868835558839724,0,8901,13.82931668593933,6,1.0541941961943433,0.95367431640625,747113.158968182,BENIGN,100.0,2026-06-29 11:59:14
53,20,1,54.0,54,54,54,54,20,54,0,54.0,40.18475600116886,0,54,0.0,1,20.09237800058443,49770.11680603027,0.0,BENIGN,100.0,2026-06-29 11:59:14
53,20,1,54.0,54,54,54,54,20,54,0,54.0,40.46368758200201,0,54,0.0,1,20.231843791001005,49427.032470703125,0.0,BENIGN,100.0,2026-06-29 11:59:14
53,20,1,54.0,54,54,54,54,20,54,0,54.0,40.80121791660384,0,54,0.0,1,20.40060895830192,49018.144607543945,0.0,BENIGN,100.0,2026-06-29 11:59:14
53,0,3,66.0,198,0,66,66,60,66,0,0.0,0.9970655971215087,3,198,0.0,0,0.0,1001935.0051879883,502479.55322265625,BENIGN,98.0,2026-06-29 11:59:14
53,0,3,66.0,198,0,66,66,60,66,0,0.0,0.9971664204177493,3,198,0.0,0,0.0,1001674.8905181885,502587.55683898926,BENIGN,98.0,2026-06-29 11:59:14
53,0,3,66.0,198,0,66,66,60,66,0,0.0,0.9972369930514691,3,198,0.0,0,0.0,1001464.1284942627,502691.8649673462,BENIGN,98.0,2026-06-29 11:59:14
443,180,12,715.3333333333334,8584,66,2296,66,240,2296,7,532.5555555555555,6.345321433650257,2,8584,622.6024433530082,9,2.719423471564396,4.0531158447265625,254549.8854041977,BENIGN,100.0,2026-06-29 11:59:14
443,120,7,878.0,6146,66,2264,66,140,2264,5,122.33333333333333,3.8144432552621432,2,6146,103.63504340821315,6,1.7605122716594508,0.95367431640625,338055.55899939314,BENIGN,100.0,2026-06-29 11:59:14
443,180,10,419.6,4196,66,1796,66,200,1796,5,767.4444444444445,6.550373294733927,2,4196,643.4267826966468,9,3.102808402768702,1.9073486328125,372564.180686118,BENIGN,100.0,2026-06-29 11:59:14
443,20,4,72.0,288,54,78,78,80,78,3,54.0,4.257438405604389,0,288,0.0,1,0.8514876811208777,431.060791015625,194486.13377356165,BENIGN,100.0,2026-06-29 11:59:14
443,180,7,325.14285714285717,2276,66,1860,66,140,4134,2,841.6666666666666,6.633050864629011,2,2276,1255.7388263488551,9,3.7310911113538188,0.95367431640625,320491.0476608338,BENIGN,100.0,2026-06-29 11:59:14
443,40,1,66.0,66,66,66,66,20,66,0,66.0,2.37923578026546,3,66,0.0,2,1.58615718684364,459471.2257385254,170983.31451416016,BENIGN,100.0,2026-06-29 11:59:14
443,60,1,66.0,66,66,66,66,20,66,0,64.66666666666667,3.095153196764862,4,66,1.8856180831641267,3,2.3213648975736465,277092.93365478516,180152.2639878722,BENIGN,100.0,2026-06-29 11:59:14
443,120,7,470.85714285714283,3296,66,2238,66,140,2774,4,913.8333333333334,10.220801446801588,2,3296,993.0693860730756,6,4.717292975446886,2.1457672119140625,219895.56658983635,BENIGN,100.0,2026-06-29 11:59:14
443,60,1,66.0,66,66,66,66,20,66,0,64.66666666666667,3.117612976476513,4,66,1.8856180831641267,3,2.3382097323573845,197485.92376708984,263234.08101439057,BENIGN,100.0,2026-06-29 11:59:14
443,20,4,839.25,3357,66,1823,66,80,1823,2,66.0,5.978350077866856,2,3357,0.0,1,1.1956700155733713,334.02442932128906,230490.32512639466,BENIGN,100.0,2026-06-29 11:59:14
443,20,4,830.0,3320,66,1786,66,80,1786,2,66.0,6.7507340931462965,2,3320,0.0,1,1.3501468186292593,147.10426330566406,205547.7543103296,BENIGN,100.0,2026-06-29 11:59:14
